Target_Fusion,Associated_Disease,Patient_Count,Enzyme_Variant,Valid_Cut_Sites,Safety_Risks,AI_Verdict,AI_Rationale,Screening_Strategy,Risk_Factors,Safety_Score
MRPL48-DTX4,BRCA,14,WP_443714745.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_443712101.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_443710932.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_443708358.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_118158110.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_321161346.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_265232294.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_163278099.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_163252947.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_163245051.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_163184865.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_114980965.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_098926848.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_085333853.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_061311164.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_053818216.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_045518692.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_033061393.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_003491553.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_003483200.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,NP_001139035.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_329604416.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_329603308.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_323286094.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_310995718.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_333265241.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_456032753.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_455267944.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9ECE|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9ECD|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9ECC|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9ECB|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9ECA|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9EC9|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9EBU|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,AJD30372.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9M8Q|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9M38|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9M34|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9M33|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9M31|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,pdb|9M30|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_444458830.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_444435771.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_444435726.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_117939725.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_443950397.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_410059552.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_443720746.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_443718908.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_443714745.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_443712101.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_443710932.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_443708358.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_118158110.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_321161346.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_265232294.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_163278099.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_163252947.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_163245051.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_163184865.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_114980965.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_098926848.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_085333853.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_061311164.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_053818216.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_045518692.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_033061393.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_003491553.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_003483200.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,NP_001139035.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_329604416.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_329603308.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_323286094.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
USP22-MYH10,BRCA,18,WP_310995718.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_333265241.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_456032753.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_455267944.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9ECE|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9ECD|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9ECC|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9ECB|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9ECA|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9EC9|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9EBU|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,AJD30372.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9M8Q|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9M38|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9M34|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9M33|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9M31|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,pdb|9M30|A,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_444458830.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_444435771.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_444435726.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_117939725.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_443950397.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_410059552.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_443720746.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_443718908.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_443714745.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_443712101.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_443710932.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_443708358.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_118158110.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_321161346.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_265232294.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_163278099.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_163252947.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_163245051.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_163184865.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_114980965.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_098926848.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_085333853.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_061311164.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_053818216.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_045518692.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_033061393.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_003491553.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_003483200.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,NP_001139035.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_329604416.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_329603308.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_323286094.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
ZFP91-RAB6A,BRCA,18,WP_310995718.1,33,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
